Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,60,66,108,92
5.5,0,0,0,0,98,202,132,176
6.0,1,0,0,0,196,320,184,256
6.5,1,0,0,0,326,736,240,392
7.0,1,0,0,0,616,1402,496,496
7.5,2,0,0,0,1028,2670,712,892
8.0,2,0,1,0,1496,4198,856,1224
8.5,2,0,1,0,1218,5926,1048,1284
9.0,1,0,1,0,1096,2870,1120,1284
9.5,1,0,1,0,804,2758,1312,1536
10.0,1,0,1,0,730,1532,1272,992
10.5,1,1,1,1,708,1234,1232,1392
11.0,1,0,1,0,728,856,1380,1184
11.5,1,0,1,1,868,936,1504,1340
12.0,1,1,1,1,1116,1044,1496,1448
12.5,1,1,1,1,972,1418,1532,1872
13.0,1,1,1,1,906,1020,1548,1408
13.5,1,1,1,1,756,976,1412,1516
14.0,1,1,1,1,886,806,1364,1228
14.5,1,1,1,1,914,892,1380,1316
15.0,1,1,1,1,1124,754,1448,1264
15.5,0,1,1,1,1156,814,1472,1224
16.0,0,1,1,1,1686,786,1632,1216
16.5,0,1,1,1,1856,920,1556,1576
17.0,0,1,1,1,3032,902,2088,1472
17.5,1,1,1,1,3580,1068,1708,1612
18.0,0,1,1,1,3308,1104,1456,1452
18.5,0,1,0,1,2528,1100,1224,1192
19.0,0,1,0,1,2106,888,1132,1028
19.5,0,1,0,1,1640,808,944,916
20.0,0,1,0,1,1346,670,984,968
20.5,0,1,0,0,1060,608,664,972
21.0,0,1,0,0,942,636,728,840
21.5,0,1,0,0,810,584,624,976
22.0,0,1,0,0,668,500,560,816
22.5,0,1,0,0,510,400,404,604
23.0,0,1,0,0,460,350,396,544
23.5,0,1,0,0,318,278,320,412
24.0,0,0,0,0,68,176,76,240
24.5,-,-,-,-,0,0,0,0
